"","mk","fr","ma","md","env","price_raw","ph","ra"
"1","""Volkswagen""","""10/2012""","""79.500""","""Golf""","""5,9 l/100 km (komb.)***, 156 g CO2/km (komb.)***""}","17990","""170""","4.3"
"2","""Volkswagen""","""07/2014""","""21.413""","""Golf Sportsvan""","""5,3 l/100 km (komb.)***, 126 g CO2/km (komb.)***""}","17990","""110""","4.2"
"3","""Volkswagen""","""05/2015""","""3.340""","""Golf""","""4,9 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","17990","""110""","3.3"
"4","""Volkswagen""","""03/2014""","""38.490""","""Golf""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","17990","""105""","4.1"
"5","""Volkswagen""","""08/2014""","""8.858""","""Golf Sportsvan""","""5,6 l/100 km (komb.)***, 132 g CO2/km (komb.)***""}","17990","""125""","4.8"
"6","""Volkswagen""","""12/2015""","""2.000""","""Golf""","""5,0 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","17990","""125""","4.4"
"7","""Volkswagen""","""-/-""","""0""","""Golf""","""5,3 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18098","""125""","4.5"
"8","""Volkswagen""","""-/-""","""0""","""Golf""","""5,3 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18098","""125""","3.9"
"9","""Volkswagen""","""08/2016""","""0""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18154","""110""","4.6"
"10","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""4,0 l/100 km (komb.)***, 105 g CO2/km (komb.)***""}","18183","""110""","4.5"
"11","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,5 l/100 km (komb.)***, 127 g CO2/km (komb.)***""}","18226","""125""","4.5"
"12","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,5 l/100 km (komb.)***, 127 g CO2/km (komb.)***""}","18226","""125""","3.9"
"13","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18250","""110""","4.0"
"14","""Volkswagen""","""12/2014""","""7.887""","""Golf""","""5,2 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18290","""125""","4.5"
"15","""Volkswagen""","""07/2014""","""27.300""","""Golf""","""4,1 l/100 km (komb.)***, 106 g CO2/km (komb.)***""}","18328","""150""","4.8"
"16","""Volkswagen""","""-/-""","""0""","""Golf""","""5,0 l/100 km (komb.)***, 115 g CO2/km (komb.)***""}","18376","""110""","3.9"
"17","""Volkswagen""","""05/2015""","""11.958""","""Golf Variant""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","18380","""105""","null"
"18","""Volkswagen""","""09/2014""","""18.350""","""Golf""","""5,0 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18390","""105""","4.0"
"19","""Volkswagen""","""-/-""","""0""","""Golf Variant""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18395","""110""","4.0"
"20","""Volkswagen""","""11/2013""","""28.389""","""Golf Variant""","""5,3 l/100 km (komb.)***, 125 g CO2/km (komb.)***""}","18410","""140""","3.8"
"21","""Volkswagen""","""04/2014""","""35.604""","""Golf""","""4,8 l/100 km (komb.)***, 127 g CO2/km (komb.)***""}","18430","""105""","4.5"
"22","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18434","""110""","4.5"
"23","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18434","""110""","3.9"
"24","""Volkswagen""","""11/2015""","""9.872""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18440","""110""","4.3"
"25","""Volkswagen""","""07/2015""","""24.765""","""Golf Variant""","""5,0 l/100 km (komb.)***, 115 g CO2/km (komb.)***""}","18444","""110""","3.9"
"26","""Volkswagen""","""02/2013""","""68.899""","""Golf""","""4,5 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18444","""150""","3.9"
"27","""Volkswagen""","""12/2013""","""23.766""","""Golf Plus""","""5,9 l/100 km (komb.)***, 140 g CO2/km (komb.)***""}","18450","""105""","4.2"
"28","""Volkswagen""","""-/-""","""5""","""Golf""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18450","""110""","4.4"
"29","""Volkswagen""","""02/2015""","""24.490""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18480","""110""","4.1"
"30","""Volkswagen""","""01/2015""","""4.609""","""Golf""","""5,2 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18490","""150""","4.5"
"31","""Volkswagen""","""-/-""","""10""","""Golf Variant""","""5,0 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18500","""110""","4.4"
"32","""Volkswagen""","""-/-""","""0""","""Golf""","""5,2 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18549","""150""","4.5"
"33","""Volkswagen""","""-/-""","""0""","""Golf""","""5,2 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18549","""150""","3.9"
"34","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18550","""110""","4.0"
"35","""Volkswagen""","""08/2016""","""0""","""Golf""","""3,5 kg/100 km (komb.)***, 94 g CO2/km (komb.)***""}","18574","""110""","4.6"
"36","""Volkswagen""","""-/-""","""1""","""Golf Sportsvan""","""3,9 l/100 km (komb.)***, 101 g CO2/km (komb.)***""}","18587","""110""","4.5"
"37","""Volkswagen""","""-/-""","""1""","""Golf""","""5,3 l/100 km (komb.)***, 121 g CO2/km (komb.)***""}","18590","""150""","4.8"
"38","""Volkswagen""","""08/2015""","""26.710""","""Golf""","""3,9 l/100 km (komb.)***, 103 g CO2/km (komb.)***""}","18667","""110""","4.2"
"39","""Volkswagen""","""-/-""","""10""","""Golf Sportsvan""","""5,4 l/100 km (komb.)***, 125 g CO2/km (komb.)***""}","18700","""125""","4.4"
"40","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,5 l/100 km (komb.)***, 127 g CO2/km (komb.)***""}","18722","""125""","3.9"
"41","""Volkswagen""","""-/-""","""1""","""Golf""","""5,2 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18725","""150""","4.4"
"42","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,2 l/100 km (komb.)***, 120 g CO2/km (komb.)***""}","18749","""125""","4.5"
"43","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,2 l/100 km (komb.)***, 120 g CO2/km (komb.)***""}","18749","""125""","3.9"
"44","""Volkswagen""","""05/2015""","""16.900""","""Golf""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","18750","""110""","4.9"
"45","""Volkswagen""","""07/2015""","""24.800""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18759","""110""","4.4"
"46","""Volkswagen""","""08/2015""","""6.312""","""Golf""","""4,9 l/100 km (komb.)***, 112 g CO2/km (komb.)***""}","18777","""110""","4.0"
"47","""Volkswagen""","""04/2015""","""10.633""","""Golf""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","18785","""110""","4.7"
"48","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18810","""110""","3.8"
"49","""Volkswagen""","""-/-""","""2""","""Golf Variant""","""5,3 l/100 km (komb.)***, 124 g CO2/km (komb.)***""}","18810","""122""","4.5"
"50","""Volkswagen""","""07/2015""","""19.250""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18830","""110""","4.2"
"51","""Volkswagen""","""-/-""","""1""","""Golf Variant""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18850","""110""","4.8"
"52","""Volkswagen""","""09/2015""","""9.720""","""Golf""","""4,9 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","18870","""110""","4.1"
"53","""Volkswagen""","""07/2015""","""16.379""","""Golf""","""5,2 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18888","""150""","3.9"
"54","""Volkswagen""","""05/2015""","""7.388""","""Golf""","""4,1 l/100 km (komb.)***, 106 g CO2/km (komb.)***""}","18888","""150""","4.0"
"55","""Volkswagen""","""07/2015""","""6.162""","""Golf""","""4,9 l/100 km (komb.)***, 114 g CO2/km (komb.)***""}","18888","""110""","4.0"
"56","""Volkswagen""","""08/2015""","""24.835""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18888","""110""","4.0"
"57","""Volkswagen""","""08/2015""","""12.107""","""Golf""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","18889","""110""","4.5"
"58","""Volkswagen""","""05/2015""","""9.500""","""Golf""","""5,0 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","18890","""125""","4.4"
"59","""Volkswagen""","""-/-""","""0""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18896","""110""","4.5"
"60","""Volkswagen""","""-/-""","""0""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18896","""110""","3.9"
"61","""Volkswagen""","""-/-""","""10""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18900","""110""","4.4"
"62","""Volkswagen""","""-/-""","""0""","""Golf""","""5,0 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","18903","""125""","4.5"
"63","""Volkswagen""","""06/2015""","""16.300""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18930","""110""","4.2"
"64","""Volkswagen""","""06/2015""","""50""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18950","""110""","4.1"
"65","""Volkswagen""","""09/2015""","""24.119""","""Golf""","""3,9 l/100 km (komb.)***, 103 g CO2/km (komb.)***""}","18979","""110""","4.2"
"66","""Volkswagen""","""09/2015""","""26.596""","""Golf""","""3,9 l/100 km (komb.)***, 103 g CO2/km (komb.)***""}","18979","""110""","4.2"
"67","""Volkswagen""","""06/2012""","""59.000""","""Golf""","""5,1 l/100 km (komb.)***, 134 g CO2/km (komb.)***""}","18980","""170""","4.2"
"68","""Volkswagen""","""03/2016""","""19.000""","""Golf""","""4,9 l/100 km (komb.)***, 114 g CO2/km (komb.)***""}","18980","""110""","3.9"
"69","""Volkswagen""","""07/2015""","""27.549""","""Golf""","""3,2 l/100 km (komb.)***, 85 g CO2/km (komb.)***""}","18980","""110""","4.1"
"70","""Volkswagen""","""05/2015""","""14.119""","""Golf""","""5,2 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18980","""125""","4.1"
"71","""Volkswagen""","""11/2014""","""24.926""","""Golf Sportsvan""","""5,4 l/100 km (komb.)***, 125 g CO2/km (komb.)***""}","18988","""125""","4.2"
"72","""Volkswagen""","""08/2015""","""20.962""","""Golf""","""5,2 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18990","""150""","3.9"
"73","""Volkswagen""","""-/-""","""1""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18990","""110""","4.8"
"74","""Volkswagen""","""-/-""","""1""","""Golf""","""2,5 kg/100 km (komb.)***, 94 g CO2/km (komb.)***""}","18990","""110""","4.8"
"75","""Volkswagen""","""-/-""","""1""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","19002","""110""","4.5"
"76","""Volkswagen""","""-/-""","""0""","""Golf""","""5,2 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","19023","""150""","4.5"
