"";"Origin";"Rating";"Price";"Titles";"Awards";"Vintage";"Country"
"N.KendallWines2012DryRiesling(FingerLakes)";"FingerLakes";90;23;"N.KendallWines2012DryRiesling(FingerLakes)";"";2012;"US"
"BrooklynWest2012Riesling(SantaYnezValley)";"CentralCoast";90;24;"BrooklynWest2012Riesling(SantaYnezValley)";"Editors’Choice";2012;"US"
"Bellangelo20121866ReserveRiesling(FingerLakes)";"FingerLakes";87;32;"Bellangelo20121866ReserveRiesling(FingerLakes)";"";2012;"US"
"HeronHill2012IngleVineyardRiesling(FingerLakes)";"FingerLakes";91;16;"HeronHill2012IngleVineyardRiesling(FingerLakes)";"";2012;"US"
"HighlandCellars2012OughtersonFamilyEstatesRiesling(SenecaLake)";"FingerLakes";86;12;"HighlandCellars2012OughtersonFamilyEstatesRiesling(SenecaLake)";"";2012;"US"
"Cutruzzola2012RivenRockVineyardRiesling(SanLuisObispoCounty)";"CentralCoast";91;28;"Cutruzzola2012RivenRockVineyardRiesling(SanLuisObispoCounty)";"Editors’Choice";2012;"US"
"Shaw2012RoadBlockReserveRiesling(FingerLakes)";"FingerLakes";92;25;"Shaw2012RoadBlockReserveRiesling(FingerLakes)";"Editors’Choice";2012;"US"
"BloomerCreek2012TanzenDameAutenVineyard2ndHarvestRiesling(FingerLakes)";"FingerLakes";90;60;"BloomerCreek2012TanzenDameAutenVineyard2ndHarvestRiesling(FingerLakes)";"Editors’Choice";2012;"US"
"Zocker2012ParagonVineyardRiesling(EdnaValley)";"CentralCoast";91;20;"Zocker2012ParagonVineyardRiesling(EdnaValley)";"CellarSelection";2012;"US"
"AnthonyRoad2012ArtSeriesRiesling(FingerLakes)";"FingerLakes";89;28;"AnthonyRoad2012ArtSeriesRiesling(FingerLakes)";"";2012;"US"
"ZeroOneVintners2012GoldenDeliciousRiesling(ColumbiaValley(WA))";"ColumbiaValley";89;14;"ZeroOneVintners2012GoldenDeliciousRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"KennedyShah2012ReserveDuBrulVineyardRiesling(YakimaValley)";"ColumbiaValley";88;25;"KennedyShah2012ReserveDuBrulVineyardRiesling(YakimaValley)";"";2012;"US"
"KoenigVineyards2012SunnySlopeCuveeRiesling";"Idaho";88;12;"KoenigVineyards2012SunnySlopeCuveeRiesling";"BestBuy";2012;"US"
"Coiled2012DryRiesling";"Idaho";87;17;"Coiled2012DryRiesling";"";2012;"US"
"HatRanch2012Riesling";"Idaho";87;18;"HatRanch2012Riesling";"";2012;"US"
"OriginalHouseWine2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";87;11;"OriginalHouseWine2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Sawtooth2012Riesling";"Idaho";87;13;"Sawtooth2012Riesling";"";2012;"US"
"Sagelands2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";84;8;"Sagelands2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Serenity2012Semi-DryRiesling(FingerLakes)";"FingerLakes";84;17;"Serenity2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Tatomer2012VandenbergRiesling(SantaBarbaraCounty)";"CentralCoast";92;25;"Tatomer2012VandenbergRiesling(SantaBarbaraCounty)";"CellarSelection";2012;"US"
"Penner-Ash2012HylandVineyardOldVineRiesling(WillametteValley)";"WillametteValley";91;28;"Penner-Ash2012HylandVineyardOldVineRiesling(WillametteValley)";"";2012;"US"
"Tatomer2012Kick-OnRanchRiesling(SantaBarbaraCounty)";"CentralCoast";91;30;"Tatomer2012Kick-OnRanchRiesling(SantaBarbaraCounty)";"CellarSelection";2012;"US"
"Hyland2012Riesling(McMinnville)";"WillametteValley";89;28;"Hyland2012Riesling(McMinnville)";"";2012;"US"
"ForaSong2012CalicheLakeVineyardRiesling(ColumbiaValley(WA))";"ColumbiaValley";90;10;"ForaSong2012CalicheLakeVineyardRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Coquelicot2012Riesling(SantaYnezValley)";"CentralCoast";89;32;"Coquelicot2012Riesling(SantaYnezValley)";"";2012;"US"
"BrooklynWinery2012SkinFermentedRiesling(FingerLakes)";"FingerLakes";87;21;"BrooklynWinery2012SkinFermentedRiesling(FingerLakes)";"";2012;"US"
"Suhru2012DryRiesling(NewYork)";"NewYorkOther";86;16;"Suhru2012DryRiesling(NewYork)";"";2012;"US"
"Lafond2012SRHRiesling(Sta.RitaHills)";"CentralCoast";90;20;"Lafond2012SRHRiesling(Sta.RitaHills)";"CellarSelection";2012;"US"
"Claiborne&Churchill2012EstateRiesling(EdnaValley)";"CentralCoast";90;28;"Claiborne&Churchill2012EstateRiesling(EdnaValley)";"";2012;"US"
"StandingSun2012Riesling(SantaBarbaraCounty)";"CentralCoast";89;24;"StandingSun2012Riesling(SantaBarbaraCounty)";"";2012;"US"
"Roots2012HillsideVineyardRiesling(ColumbiaGorge(OR))";"OregonOther";89;15;"Roots2012HillsideVineyardRiesling(ColumbiaGorge(OR))";"";2012;"US"
"CoeurdeTerre2012DryRiesling(McMinnville)";"WillametteValley";86;19;"CoeurdeTerre2012DryRiesling(McMinnville)";"";2012;"US"
"KeukaLakeVineyards2012DryRiesling(FingerLakes)";"FingerLakes";88;18;"KeukaLakeVineyards2012DryRiesling(FingerLakes)";"";2012;"US"
"Benmarl2012Semi-DryRiesling(SenecaLake)";"FingerLakes";87;18;"Benmarl2012Semi-DryRiesling(SenecaLake)";"";2012;"US"
"KeukaLakeVineyards2012FallingManVineyardDryRiesling(FingerLakes)";"FingerLakes";86;30;"KeukaLakeVineyards2012FallingManVineyardDryRiesling(FingerLakes)";"";2012;"US"
"KeukaLakeVineyards2012EastsideDryRiesling(FingerLakes)";"FingerLakes";86;24;"KeukaLakeVineyards2012EastsideDryRiesling(FingerLakes)";"";2012;"US"
"Tousey2012Riesling(HudsonRiverRegion)";"NewYorkOther";86;19;"Tousey2012Riesling(HudsonRiverRegion)";"";2012;"US"
"BrooklynWinery2012BarrelFermentedRiesling(FingerLakes)";"FingerLakes";85;26;"BrooklynWinery2012BarrelFermentedRiesling(FingerLakes)";"";2012;"US"
"BrooklynWinery2012Riesling(FingerLakes)";"FingerLakes";85;20;"BrooklynWinery2012Riesling(FingerLakes)";"";2012;"US"
"Tousey2012DryRiesling(HudsonRiverRegion)";"NewYorkOther";85;21;"Tousey2012DryRiesling(HudsonRiverRegion)";"";2012;"US"
"Brandborg2012Riesling(ElktonOregon)";"SouthernOregon";88;16;"Brandborg2012Riesling(ElktonOregon)";"";2012;"US"
"BarrageCellars2012ExclamationRiesling(YakimaValley)";"ColumbiaValley";91;18;"BarrageCellars2012ExclamationRiesling(YakimaValley)";"CellarSelection";2012;"US"
"Wagner2012SemiDryRiesling(FingerLakes)";"FingerLakes";90;15;"Wagner2012SemiDryRiesling(FingerLakes)";"BestBuy";2012;"US"
"Tierce2012DryRiesling(FingerLakes)";"FingerLakes";89;30;"Tierce2012DryRiesling(FingerLakes)";"";2012;"US"
"Joleté2012Riesling(AndersonValley)";"Mendocino/LakeCounties";88;18;"Joleté2012Riesling(AndersonValley)";"";2012;"US"
"SixMileCreek2012Riesling(FingerLakes)";"FingerLakes";88;15;"SixMileCreek2012Riesling(FingerLakes)";"";2012;"US"
"AlexandriaNicole2012DestinyRidgeVineyardRiesling(HorseHeavenHills)";"ColumbiaValley";87;16;"AlexandriaNicole2012DestinyRidgeVineyardRiesling(HorseHeavenHills)";"";2012;"US"
"AnthonyNappa2012LuminousRiesling(FingerLakes)";"FingerLakes";87;18;"AnthonyNappa2012LuminousRiesling(FingerLakes)";"";2012;"US"
"Influence2012Riesling(NewYork)";"NewYorkOther";86;19;"Influence2012Riesling(NewYork)";"";2012;"US"
"Fulkerson2012Semi-DryRiesling(FingerLakes)";"FingerLakes";84;13;"Fulkerson2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Kramer2012YamhillVineyardRiesling(Yamhill-CarltonDistrict)";"WillametteValley";89;20;"Kramer2012YamhillVineyardRiesling(Yamhill-CarltonDistrict)";"";2012;"US"
"Sutcliffe2012Riesling(Colorado)";"Colorado";87;25;"Sutcliffe2012Riesling(Colorado)";"";2012;"US"
"CarlsonCreek2012SweetAdelineRiesling(Arizona)";"Arizona";82;19;"CarlsonCreek2012SweetAdelineRiesling(Arizona)";"";2012;"US"
"Gård2012LawrenceVineyardsGrandKlasseRiesling(ColumbiaValley(WA))";"ColumbiaValley";91;22;"Gård2012LawrenceVineyardsGrandKlasseRiesling(ColumbiaValley(WA))";"";2012;"US"
"Gård2012LawrenceVineyardsRiesling(ColumbiaValley(WA))";"ColumbiaValley";90;14;"Gård2012LawrenceVineyardsRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Samson2012Riesling(YakimaValley)";"ColumbiaValley";90;15;"Samson2012Riesling(YakimaValley)";"BestBuy";2012;"US"
"Hazlitt1852Vineyards2012HomesteadReserveRiesling(FingerLakes)";"FingerLakes";89;24;"Hazlitt1852Vineyards2012HomesteadReserveRiesling(FingerLakes)";"";2012;"US"
"SheldrakePoint2012ReserveDryRiesling(FingerLakes)";"FingerLakes";89;30;"SheldrakePoint2012ReserveDryRiesling(FingerLakes)";"";2012;"US"
"RyanPatrick2012Ryan'sRiesling(ColumbiaValley(WA))";"ColumbiaValley";89;10;"RyanPatrick2012Ryan'sRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"Atwater2012Riesling(FingerLakes)";"FingerLakes";88;17;"Atwater2012Riesling(FingerLakes)";"";2012;"US"
"NineHats2012Riesling(ColumbiaValley(WA))";"ColumbiaValley";88;12;"NineHats2012Riesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"ChateauLafayetteReneau2012DryRiesling(FingerLakes)";"FingerLakes";88;15;"ChateauLafayetteReneau2012DryRiesling(FingerLakes)";"";2012;"US"
"Treleaven2012Semi-DryRiesling(FingerLakes)";"FingerLakes";88;14;"Treleaven2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Glenora2012DryRiesling(FingerLakes)";"FingerLakes";88;15;"Glenora2012DryRiesling(FingerLakes)";"";2012;"US"
"ChateauLafayetteReneau2012SemidryRiesling(FingerLakes)";"FingerLakes";87;15;"ChateauLafayetteReneau2012SemidryRiesling(FingerLakes)";"";2012;"US"
"Hazlitt1852Vineyards2012DryRiesling(FingerLakes)";"FingerLakes";87;16;"Hazlitt1852Vineyards2012DryRiesling(FingerLakes)";"";2012;"US"
"SwedishHill2012DryRiesling(FingerLakes)";"FingerLakes";87;16;"SwedishHill2012DryRiesling(FingerLakes)";"";2012;"US"
"Treleaven2012DryRiesling(CayugaLake)";"FingerLakes";87;16;"Treleaven2012DryRiesling(CayugaLake)";"";2012;"US"
"Hosmer2012Riesling(CayugaLake)";"FingerLakes";87;15;"Hosmer2012Riesling(CayugaLake)";"";2012;"US"
"LucasVineyards2012Semi-DryRiesling(FingerLakes)";"FingerLakes";87;13;"LucasVineyards2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"FoxRun2012Semi-DryRiesling(FingerLakes)";"FingerLakes";87;14;"FoxRun2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"Hazlitt1852Vineyards2012Riesling(FingerLakes)";"FingerLakes";87;13;"Hazlitt1852Vineyards2012Riesling(FingerLakes)";"";2012;"US"
"StoneCap2012EstateGrownRiesling(ColumbiaValley(WA))";"ColumbiaValley";87;10;"StoneCap2012EstateGrownRiesling(ColumbiaValley(WA))";"BestBuy";2012;"US"
"KeukaSpring2012SemiSweetRiesling(FingerLakes)";"FingerLakes";86;14;"KeukaSpring2012SemiSweetRiesling(FingerLakes)";"";2012;"US"
"Glenora2012DalrympleVineyardSelectHarvestRiesling(FingerLakes)";"FingerLakes";86;25;"Glenora2012DalrympleVineyardSelectHarvestRiesling(FingerLakes)";"";2012;"US"
"Wagner2012CaywoodEastVineyardDryRiesling(FingerLakes)";"FingerLakes";86;15;"Wagner2012CaywoodEastVineyardDryRiesling(FingerLakes)";"";2012;"US"
"LucasVineyards2012DryRiesling(FingerLakes)";"FingerLakes";85;13;"LucasVineyards2012DryRiesling(FingerLakes)";"";2012;"US"
"Lakewood2012DryRiesling(FingerLakes)";"FingerLakes";85;13;"Lakewood2012DryRiesling(FingerLakes)";"";2012;"US"
"SwedishHill2012Riesling(FingerLakes)";"FingerLakes";85;16;"SwedishHill2012Riesling(FingerLakes)";"";2012;"US"
"RoosterHill2012DryRiesling(FingerLakes)";"FingerLakes";85;16;"RoosterHill2012DryRiesling(FingerLakes)";"";2012;"US"
"McGregor2012Semi-DryRiesling(FingerLakes)";"FingerLakes";85;18;"McGregor2012Semi-DryRiesling(FingerLakes)";"";2012;"US"
"RoosterHill2012Medium-SweetRiesling(FingerLakes)";"FingerLakes";85;16;"RoosterHill2012Medium-SweetRiesling(FingerLakes)";"";2012;"US"
"Wagner2012SelectRiesling(FingerLakes)";"FingerLakes";85;13;"Wagner2012SelectRiesling(FingerLakes)";"";2012;"US"
"FourDegreesofRiesling20120DegreeDryRiesling(SenecaLake)";"FingerLakes";84;16;"FourDegreesofRiesling20120DegreeDryRiesling(SenecaLake)";"";2012;"US"
"FourDegreesofRiesling20122ndDegreeMediumSweetRiesling(FingerLakes)";"FingerLakes";84;14;"FourDegreesofRiesling20122ndDegreeMediumSweetRiesling(FingerLakes)";"";2012;"US"
"Fulkerson2012DryRiesling(FingerLakes)";"FingerLakes";83;13;"Fulkerson2012DryRiesling(FingerLakes)";"";2012;"US"
"McGregor2012DryRiesling(FingerLakes)";"FingerLakes";83;20;"McGregor2012DryRiesling(FingerLakes)";"";2012;"US"
"FourDegreesofRiesling20121stDegreeMediumDryRiesling(SenecaLake)";"FingerLakes";83;16;"FourDegreesofRiesling20121stDegreeMediumDryRiesling(SenecaLake)";"";2012;"US"
"Hosmer2012SingleWheelDryRiesling(FingerLakes)";"FingerLakes";82;18;"Hosmer2012SingleWheelDryRiesling(FingerLakes)";"";2012;"US"
